!SIL	SIL
<SPOKEN_NOISE>	SPN
1021	n1 n0 n2 n1
1022	n1 n0 n2 n2
1023	n1 n0 n2 n3
1024	n1 n0 n2 n4
1025	n1 n0 n2 n5
1026	n1 n0 n2 n6
1027	n1 n0 n2 n7
1029	n1 n0 n2 n9
102ㄱㅣㄹᴥ	n1 n0 n2 f0 m20 e7
102ㄷㅗㅇᴥ	n1 n0 n2 f3 m8 e20
102ㄷㅗㅇᴥㅇㅔᴥㄱㅔᴥ	n1 n0 n2 f3 m8 e20 f11 m5 f0 m5
102ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n2 f7 m4 e3 f0 m20 e7
102ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n2 f7 m4 e3 f12 m20
102ㅎㅗᴥ	n1 n0 n2 f18 m8
103	n1 n0 n3
1031	n1 n0 n3 n1
1032	n1 n0 n3 n2
1032ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n3 n2 f7 m4 e3 f0 m20 e7
1032ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n3 n2 f7 m4 e3 f12 m20
1033	n1 n0 n3 n3
1035	n1 n0 n3 n5
1036	n1 n0 n3 n6
1036ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n3 n6 f7 m4 e3 f12 m20
1037	n1 n0 n3 n7
1039	n1 n0 n3 n9
103ㄷㅗㅇᴥ	n1 n0 n3 f3 m8 e20
103ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n3 f7 m4 e3 f0 m20 e7
103ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n3 f7 m4 e3 f12 m20
104	n1 n0 n4
1040	n1 n0 n4 n0
1043	n1 n0 n4 n3
1044	n1 n0 n4 n4
1044ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n4 n4 f7 m4 e3 f0 m20 e7
1046	n1 n0 n4 n6
1046ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n4 n6 f7 m4 e3 f12 m20
1049	n1 n0 n4 n9
104ㄷㅗㅇᴥ	n1 n0 n4 f3 m8 e20
104ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n4 f7 m4 e3 f0 m20 e7
104ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n4 f7 m4 e3 f12 m20
105	n1 n0 n5
1050	n1 n0 n5 n0
1051	n1 n0 n5 n1
1051ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n5 n1 f7 m4 e3 f12 m20
1052	n1 n0 n5 n2
1055	n1 n0 n5 n5
1056	n1 n0 n5 n6
1058	n1 n0 n5 n8
105ㄷㅗㅇᴥ	n1 n0 n5 f3 m8 e20
105ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n5 f7 m4 e3 f0 m20 e7
105ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n5 f7 m4 e3 f12 m20
105ㅎㅗᴥ	n1 n0 n5 f18 m8
106	n1 n0 n6
1060	n1 n0 n6 n0
1061	n1 n0 n6 n1
1063	n1 n0 n6 n3
1064	n1 n0 n6 n4
1065	n1 n0 n6 n5
1066	n1 n0 n6 n6
1066ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n6 n6 f7 m4 e3 f0 m20 e7
1067	n1 n0 n6 n7
1069	n1 n0 n6 n9
106ㄱㅣㄹᴥ	n1 n0 n6 f0 m20 e7
106ㄷㅗㅇᴥ	n1 n0 n6 f3 m8 e20
106ㅂㅓㄴᴥ	n1 n0 n6 f7 m4 e3
106ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n6 f7 m4 e3 f0 m20 e7
107	n1 n0 n7
1071	n1 n0 n7 n1
1072ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n7 n2 f7 m4 e3 f0 m20 e7
1073	n1 n0 n7 n3
1074	n1 n0 n7 n4
1075	n1 n0 n7 n5
1076	n1 n0 n7 n6
1077	n1 n0 n7 n7
1077ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n7 n7 f7 m4 e3 f12 m20
1078	n1 n0 n7 n8
107ㄱㅣㄹᴥ	n1 n0 n7 f0 m20 e7
107ㄷㅗㅇᴥ	n1 n0 n7 f3 m8 e20
107ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n7 f7 m4 e3 f12 m20
108	n1 n0 n8
1080	n1 n0 n8 n0
1081	n1 n0 n8 n1
1084	n1 n0 n8 n4
1085	n1 n0 n8 n5
1088	n1 n0 n8 n8
108ㄱㅣㄹᴥ	n1 n0 n8 f0 m20 e7
108ㄷㅗㅇᴥ	n1 n0 n8 f3 m8 e20
108ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n8 f7 m4 e3 f0 m20 e7
108ㅇㅔᴥㄱㅔᴥ	n1 n0 n8 f11 m5 f0 m5
109	n1 n0 n9
1090	n1 n0 n9 n0
1091	n1 n0 n9 n1
1092	n1 n0 n9 n2
1093ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n9 n3 f7 m4 e3 f12 m20
1094	n1 n0 n9 n4
1096	n1 n0 n9 n6
1099	n1 n0 n9 n9
109ㄷㅗㅇᴥ	n1 n0 n9 f3 m8 e20
109ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n9 f7 m4 e3 f0 m20 e7
109ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n9 f7 m4 e3 f12 m20
109ㅇㅔᴥㄱㅔᴥ	n1 n0 n9 f11 m5 f0 m5
10ㄱㅣㄹᴥ	n1 n0 f0 m20 e7
10ㄷㅏㄴᴥㅈㅣᴥ	n1 n0 f3 m0 e3 f12 m20
10ㅂㅓㄴᴥ	n1 n0 f7 m4 e3
10ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 f7 m4 e3 f0 m20 e7
10ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 f7 m4 e3 f12 m20
10ㅂㅜㄴᴥ	n1 n0 f7 m13 e3
10ㅊㅏᴥ	n1 n0 f14 m0
11	n1 n1
110	n1 n1 n0
1101	n1 n1 n0 n1
1103	n1 n1 n0 n3
1104	n1 n1 n0 n4
1104ㅎㅗᴥ	n1 n1 n0 n4 f18 m8
1105ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n0 n5 f7 m4 e3 f12 m20
1106ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n0 n6 f7 m4 e3 f12 m20
1107	n1 n1 n0 n7
1108ㄷㅗㅇᴥ	n1 n1 n0 n8 f3 m8 e20
1109	n1 n1 n0 n9
110ㄷㅗㅇᴥ	n1 n1 n0 f3 m8 e20
110ㅂㅓㄴᴥ	n1 n1 n0 f7 m4 e3
110ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n0 f7 m4 e3 f0 m20 e7
110ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n0 f7 m4 e3 f12 m20
111	n1 n1 n1
1111	n1 n1 n1 n1
1111ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n1 n1 f7 m4 e3 f12 m20
1112ㄷㅗㅇᴥ	n1 n1 n1 n2 f3 m8 e20
1113	n1 n1 n1 n3
1113ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n1 n3 f7 m4 e3 f12 m20
1115	n1 n1 n1 n5
1115ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n1 n5 f7 m4 e3 f12 m20
1116	n1 n1 n1 n6
1116ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n1 n6 f7 m4 e3 f12 m20
1119	n1 n1 n1 n9
1119ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n1 n9 f7 m4 e3 f12 m20
111ㄱㅣㄹᴥ	n1 n1 n1 f0 m20 e7
111ㄷㅗㅇᴥ	n1 n1 n1 f3 m8 e20
111ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n1 f7 m4 e3 f0 m20 e7
111ㅂㅓㄴᴥㅇㅏㄴᴥㄱㅣㄹᴥ	n1 n1 n1 f7 m4 e3 f11 m0 e3 f0 m20 e7
111ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n1 f7 m4 e3 f12 m20
112	n1 n1 n2
1120	n1 n1 n2 n0
1120ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n2 n0 f7 m4 e3 f0 m20 e7
1120ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n2 n0 f7 m4 e3 f12 m20
1121	n1 n1 n2 n1
1122	n1 n1 n2 n2
1123ㅂㅓㄴᴥ	n1 n1 n2 n3 f7 m4 e3
1124	n1 n1 n2 n4
1124ㅂㅓㄴᴥ	n1 n1 n2 n4 f7 m4 e3
1124ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n2 n4 f7 m4 e3 f0 m20 e7
1125	n1 n1 n2 n5
1125ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n2 n5 f7 m4 e3 f0 m20 e7
1125ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n2 n5 f7 m4 e3 f12 m20
1129	n1 n1 n2 n9
112ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n2 f7 m4 e3 f0 m20 e7
112ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n2 f7 m4 e3 f12 m20
113	n1 n1 n3
1132	n1 n1 n3 n2
1133	n1 n1 n3 n3
1135	n1 n1 n3 n5
1137	n1 n1 n3 n7
1139	n1 n1 n3 n9
113ㄷㅗㅇᴥ	n1 n1 n3 f3 m8 e20
113ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n3 f7 m4 e3 f0 m20 e7
113ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n3 f7 m4 e3 f12 m20
114	n1 n1 n4
1141	n1 n1 n4 n1
1142	n1 n1 n4 n2
1142ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n4 n2 f7 m4 e3 f0 m20 e7
1143	n1 n1 n4 n3
1144	n1 n1 n4 n4
1146	n1 n1 n4 n6
1147	n1 n1 n4 n7
1148	n1 n1 n4 n8
114ㄷㅗㅇᴥ	n1 n1 n4 f3 m8 e20
114ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n4 f7 m4 e3 f0 m20 e7
114ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n4 f7 m4 e3 f12 m20
114ㅇㅔᴥㅅㅓᴥ	n1 n1 n4 f11 m5 f9 m4
115	n1 n1 n5
1152	n1 n1 n5 n2
1152ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n5 n2 f7 m4 e3 f12 m20
1153	n1 n1 n5 n3
1154	n1 n1 n5 n4
1157	n1 n1 n5 n7
115ㄷㅗㅇᴥ	n1 n1 n5 f3 m8 e20
115ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n5 f7 m4 e3 f0 m20 e7
115ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n5 f7 m4 e3 f12 m20
116	n1 n1 n6
1161	n1 n1 n6 n1
1165	n1 n1 n6 n5
1166ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n6 n6 f7 m4 e3 f12 m20
1168	n1 n1 n6 n8
1168ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n6 n8 f7 m4 e3 f12 m20
116ㄷㅗㅇᴥ	n1 n1 n6 f3 m8 e20
116ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n6 f7 m4 e3 f0 m20 e7
116ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n6 f7 m4 e3 f12 m20
117	n1 n1 n7
1171	n1 n1 n7 n1
1173	n1 n1 n7 n3
1174	n1 n1 n7 n4
1176	n1 n1 n7 n6
1176ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n7 n6 f7 m4 e3 f12 m20
1177	n1 n1 n7 n7
1179ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n7 n9 f7 m4 e3 f0 m20 e7
1179ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n7 n9 f7 m4 e3 f12 m20
117ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n7 f7 m4 e3 f0 m20 e7
118	n1 n1 n8
1180	n1 n1 n8 n0
1186	n1 n1 n8 n6
1186ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n8 n6 f7 m4 e3 f0 m20 e7
1187	n1 n1 n8 n7
1187ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n8 n7 f7 m4 e3 f12 m20
1189	n1 n1 n8 n9
119	n1 n1 n9
1191	n1 n1 n9 n1
1192ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n9 n2 f7 m4 e3 f12 m20
1194	n1 n1 n9 n4
1199ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n9 n9 f7 m4 e3 f12 m20
119ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 n9 f7 m4 e3 f0 m20 e7
119ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 n9 f7 m4 e3 f12 m20
119ㅅㅔᴥㅌㅏㄱᴥㅅㅗᴥ	n1 n1 n9 f9 m5 f16 m0 e0 f9 m8
119ㅇㅏㄴᴥㅈㅓㄴᴥ	n1 n1 n9 f11 m0 e3 f12 m4 e3
119ㅈㅣᴥㅇㅕㄱᴥㄷㅐᴥ	n1 n1 n9 f12 m20 f11 m6 e0 f3 m1
11ㄱㅣㄹᴥ	n1 n1 f0 m20 e7
11ㄷㅏᴥㄱㅣㄹᴥ	n1 n1 f3 m0 f0 m20 e7
11ㄷㅏㄴᴥㅈㅣᴥ	n1 n1 f3 m0 e3 f12 m20
11ㄷㅗㅇᴥ	n1 n1 f3 m8 e20
11ㅂㅓㄴᴥ	n1 n1 f7 m4 e3
11ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n1 f7 m4 e3 f0 m20 e7
11ㅂㅓㄴᴥㅈㅣᴥ	n1 n1 f7 m4 e3 f12 m20
11ㅅㅣᴥ	n1 n1 f9 m20
11ㅈㅏᴥㄱㅣㄹᴥ	n1 n1 f12 m0 f0 m20 e7
11ㅎㅗᴥㅈㅓㅁᴥ	n1 n1 f18 m8 f12 m4 e15
12	n1 n2
120	n1 n2 n0
1200	n1 n2 n0 n0
1201	n1 n2 n0 n1
1202	n1 n2 n0 n2
1202ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n0 n2 f7 m4 e3 f12 m20
1203	n1 n2 n0 n3
1205	n1 n2 n0 n5
1206ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n0 n6 f7 m4 e3 f12 m20
1208	n1 n2 n0 n8
120ㄱㅣㄹᴥ	n1 n2 n0 f0 m20 e7
120ㄷㅗㅇᴥ	n1 n2 n0 f3 m8 e20
120ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n0 f7 m4 e3 f12 m20
121	n1 n2 n1
1210	n1 n2 n1 n0
1210ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n1 n0 f7 m4 e3 f0 m20 e7
1211ㄷㅗㅇᴥ	n1 n2 n1 n1 f3 m8 e20
1215	n1 n2 n1 n5
1217	n1 n2 n1 n7
1219	n1 n2 n1 n9
121ㄱㅣㄹᴥ	n1 n2 n1 f0 m20 e7
121ㄷㅗㅇᴥ	n1 n2 n1 f3 m8 e20
121ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n1 f7 m4 e3 f0 m20 e7
121ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n1 f7 m4 e3 f12 m20
122	n1 n2 n2
1220	n1 n2 n2 n0
1222	n1 n2 n2 n2
1223	n1 n2 n2 n3
1223ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n2 n3 f7 m4 e3 f12 m20
1226ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n2 n6 f7 m4 e3 f12 m20
1229	n1 n2 n2 n9
123	n1 n2 n3
1230	n1 n2 n3 n0
1231	n1 n2 n3 n1
1232ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n3 n2 f7 m4 e3 f12 m20
1233ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n3 n3 f7 m4 e3 f0 m20 e7
1234	n1 n2 n3 n4
1236	n1 n2 n3 n6
1237	n1 n2 n3 n7
1238	n1 n2 n3 n8
1239	n1 n2 n3 n9
123cc	n1 n2 n3 c c
123ㄱㅣㄹᴥ	n1 n2 n3 f0 m20 e7
123ㄷㅗㅇᴥ	n1 n2 n3 f3 m8 e20
123ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n3 f7 m4 e3 f0 m20 e7
124	n1 n2 n4
1240	n1 n2 n4 n0
1243	n1 n2 n4 n3
1244	n1 n2 n4 n4
1246	n1 n2 n4 n6
1247	n1 n2 n4 n7
1249	n1 n2 n4 n9
124ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n4 f7 m4 e3 f0 m20 e7
125	n1 n2 n5
1250	n1 n2 n5 n0
1251	n1 n2 n5 n1
1252	n1 n2 n5 n2
1255	n1 n2 n5 n5
1256	n1 n2 n5 n6
1257	n1 n2 n5 n7
1259	n1 n2 n5 n9
125ㄱㅣㄹᴥ	n1 n2 n5 f0 m20 e7
125ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n5 f7 m4 e3 f0 m20 e7
126	n1 n2 n6
1260	n1 n2 n6 n0
1263ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n6 n3 f7 m4 e3 f12 m20
1265	n1 n2 n6 n5
1267	n1 n2 n6 n7
1267ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n6 n7 f7 m4 e3 f0 m20 e7
1268	n1 n2 n6 n8
126ㄷㅗㅇᴥ	n1 n2 n6 f3 m8 e20
126ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n6 f7 m4 e3 f0 m20 e7
126ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n6 f7 m4 e3 f12 m20
127	n1 n2 n7
1270	n1 n2 n7 n0
1272	n1 n2 n7 n2
1273	n1 n2 n7 n3
1277	n1 n2 n7 n7
1277ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n7 n7 f7 m4 e3 f12 m20
1279	n1 n2 n7 n9
127ㄷㅗㅇᴥ	n1 n2 n7 f3 m8 e20
127ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n7 f7 m4 e3 f0 m20 e7
128	n1 n2 n8
1280	n1 n2 n8 n0
1281	n1 n2 n8 n1
1286	n1 n2 n8 n6
1287	n1 n2 n8 n7
128ㄱㅏᴥㄱㅣㄹᴥ	n1 n2 n8 f0 m0 f0 m20 e7
128ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n8 f7 m4 e3 f12 m20
129	n1 n2 n9
1293	n1 n2 n9 n3
1296	n1 n2 n9 n6
1297	n1 n2 n9 n7
1298	n1 n2 n9 n8
129ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 n9 f7 m4 e3 f0 m20 e7
129ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 n9 f7 m4 e3 f12 m20
129ㅎㅗᴥ	n1 n2 n9 f18 m8
12ㄱㅣㄹᴥ	n1 n2 f0 m20 e7
12ㄷㅏㄴᴥㅈㅣᴥ	n1 n2 f3 m0 e3 f12 m20
12ㄷㅏㄴᴥㅈㅣᴥㄹㅗᴥ	n1 n2 f3 m0 e3 f12 m20 f5 m8
12ㅂㅓㄴᴥ	n1 n2 f7 m4 e3
12ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n2 f7 m4 e3 f0 m20 e7
12ㅂㅓㄴᴥㅈㅣᴥ	n1 n2 f7 m4 e3 f12 m20
12ㅅㅣᴥ	n1 n2 f9 m20
12ㅇㅔᴥㄱㅔᴥ	n1 n2 f11 m5 f0 m5
12ㅊㅏᴥ	n1 n2 f14 m0
13	n1 n3
130	n1 n3 n0
1302	n1 n3 n0 n2
1302ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n0 n2 f7 m4 e3 f12 m20
1304	n1 n3 n0 n4
1305	n1 n3 n0 n5
1305ㄷㅗㅇᴥ	n1 n3 n0 n5 f3 m8 e20
1306	n1 n3 n0 n6
130ㄱㅣㄹᴥ	n1 n3 n0 f0 m20 e7
130ㅂㅓㄴᴥ	n1 n3 n0 f7 m4 e3
130ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n0 f7 m4 e3 f0 m20 e7
130ㅂㅓㄴᴥㅇㅏㄴᴥㄱㅣㄹᴥ	n1 n3 n0 f7 m4 e3 f11 m0 e3 f0 m20 e7
130ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n0 f7 m4 e3 f12 m20
131	n1 n3 n1
1311	n1 n3 n1 n1
131ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n1 f7 m4 e3 f0 m20 e7
131ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n1 f7 m4 e3 f12 m20
132	n1 n3 n2
1323	n1 n3 n2 n3
1323ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n2 n3 f7 m4 e3 f12 m20
1326	n1 n3 n2 n6
1328	n1 n3 n2 n8
1329	n1 n3 n2 n9
132ㄷㅗㅇᴥ	n1 n3 n2 f3 m8 e20
132ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n2 f7 m4 e3 f0 m20 e7
132ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n2 f7 m4 e3 f12 m20
133	n1 n3 n3
1330	n1 n3 n3 n0
1335	n1 n3 n3 n5
1336	n1 n3 n3 n6
1339	n1 n3 n3 n9
134	n1 n3 n4
1341ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n4 n1 f7 m4 e3 f12 m20
1342	n1 n3 n4 n2
1344	n1 n3 n4 n4
1344ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n4 n4 f7 m4 e3 f12 m20
1345ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n4 n5 f7 m4 e3 f0 m20 e7
1348	n1 n3 n4 n8
134ㄱㅣㄹᴥ	n1 n3 n4 f0 m20 e7
134ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n4 f7 m4 e3 f0 m20 e7
135	n1 n3 n5
1350	n1 n3 n5 n0
1355	n1 n3 n5 n5
1356	n1 n3 n5 n6
135ㄷㅗㅇᴥ	n1 n3 n5 f3 m8 e20
135ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n5 f7 m4 e3 f0 m20 e7
136	n1 n3 n6
1360	n1 n3 n6 n0
1362	n1 n3 n6 n2
1364	n1 n3 n6 n4
1366	n1 n3 n6 n6
1368	n1 n3 n6 n8
136ㄱㅣㄹᴥ	n1 n3 n6 f0 m20 e7
136ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n6 f7 m4 e3 f0 m20 e7
136ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n6 f7 m4 e3 f12 m20
137	n1 n3 n7
1373	n1 n3 n7 n3
1375	n1 n3 n7 n5
1375ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n7 n5 f7 m4 e3 f12 m20
1376	n1 n3 n7 n6
137ㄷㅗㅇᴥ	n1 n3 n7 f3 m8 e20
137ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n7 f7 m4 e3 f12 m20
138	n1 n3 n8
1380	n1 n3 n8 n0
1384	n1 n3 n8 n4
1385	n1 n3 n8 n5
1387	n1 n3 n8 n7
1388	n1 n3 n8 n8
138ㄷㅗㅇᴥ	n1 n3 n8 f3 m8 e20
138ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n8 f7 m4 e3 f0 m20 e7
138ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n8 f7 m4 e3 f12 m20
139	n1 n3 n9
1396	n1 n3 n9 n6
139ㄹㅗᴥ	n1 n3 n9 f5 m8
139ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n3 n9 f7 m4 e3 f0 m20 e7
139ㅂㅓㄴᴥㅈㅣᴥ	n1 n3 n9 f7 m4 e3 f12 m20
13ㄱㅏᴥㄱㅣㄹᴥ	n1 n3 f0 m0 f0 m20 e7
13ㄱㅣㄹᴥ	n1 n3 f0 m20 e7
13ㄷㅏㄴᴥㅈㅣᴥ	n1 n3 f3 m0 e3 f12 m20
13ㄷㅗㅇᴥ	n1 n3 f3 m8 e20
